symbol,date,open,high,low,close,volume
AAPL,2026-03-02,262.44,266.53,260.2,264.72,41576035.0
AAPL,2026-03-03,263.48,265.56,260.13,263.75,37994695.0
AAPL,2026-03-04,264.65,266.15,261.42,262.52,39258957.0
AAPL,2026-03-05,260.745,261.555,257.25,260.29,49424671.0
AAPL,2026-03-06,258.74,258.76,254.37,257.46,40628988.0
AAPL,2026-03-09,255.69,261.15,253.6805,259.88,37958303.0
AAPL,2026-03-10,257.695,262.48,256.95,260.83,26403306.0
AAPL,2026-03-11,261.09,262.13,259.55,260.81,26131800.0
AAPL,2026-03-12,258.64,258.95,254.18,255.76,40132517.0
AAPL,2026-03-13,255.4,256.33,249.52,250.12,34193754.0
AAPL,2026-03-16,252.105,253.885,249.88,252.82,30091880.0
AAPL,2026-03-17,253.0785,255.1299,252.18,254.23,27556024.0
AAPL,2026-03-18,252.625,254.94,249.0,249.94,34652568.0
AAPL,2026-03-19,249.4,251.83,247.3,248.96,34568663.0
AAPL,2026-03-20,248.11,249.1999,246.0,247.99,87981315.0
AAPL,2026-03-23,253.99,254.56,250.28,251.49,37465587.0
AAPL,2026-03-24,250.49,254.825,249.55,251.64,27882961.0
AAPL,2026-03-25,254.1,255.0,251.6,252.62,28436700.0
AAPL,2026-03-26,251.995,257.0,250.775,252.89,41331888.0
AAPL,2026-03-27,253.91,255.493,248.07,248.8,46525772.0
AAPL,2026-03-30,249.995,250.84,245.51,246.63,38248670.0
AAPL,2026-03-31,247.89,255.48,247.101,253.79,48770963.0
AMZN,2026-03-02,204.55,209.72,203.48,208.39,43410499.0
AMZN,2026-03-03,203.23,209.178,202.48,208.73,42680032.0
AMZN,2026-03-04,210.47,217.535,210.15,216.82,54286831.0
AMZN,2026-03-05,215.98,220.47,215.59,218.94,60834400.0
AMZN,2026-03-06,214.99,217.32,212.535,213.21,50910303.0
AMZN,2026-03-09,210.46,213.82,207.11,213.49,53488342.0
AMZN,2026-03-10,214.19,215.65,212.43,214.33,35582400.0
AMZN,2026-03-11,215.71,217.0,211.35,212.65,34006300.0
AMZN,2026-03-12,210.33,211.71,208.15,209.53,44067157.0
AMZN,2026-03-13,209.4,210.56,206.22,207.67,34201623.0
AMZN,2026-03-16,208.35,212.724,207.445,211.74,42137043.0
AMZN,2026-03-17,212.885,215.7,212.43,215.2,41662109.0
AMZN,2026-03-18,213.96,215.1401,208.83,209.87,37711795.0
AMZN,2026-03-19,207.06,209.12,206.06,208.76,35932990.0
AMZN,2026-03-20,207.5,207.5399,204.316,205.37,55381136.0
AMZN,2026-03-23,209.78,212.8,209.51,210.14,43926097.0
AMZN,2026-03-24,207.885,209.35,206.64,207.24,34266291.0
AMZN,2026-03-25,211.62,213.07,209.9,211.71,35103651.0
AMZN,2026-03-26,210.57,212.885,207.12,207.54,45915765.0
AMZN,2026-03-27,206.325,206.42,199.14,199.34,55772474.0
AMZN,2026-03-30,201.35,203.8,199.9802,200.95,42710345.0
AMZN,2026-03-31,204.875,210.28,204.14,208.27,57843337.0
GOOG,2026-03-02,302.93,308.14,301.06,306.36,21789144.0
GOOG,2026-03-03,298.192,303.94,296.6994,303.56,19747708.0
GOOG,2026-03-04,302.72,305.46,300.8,303.45,19892189.0
GOOG,2026-03-05,303.09,303.37,298.07,300.91,22541297.0
GOOG,2026-03-06,296.072,300.33,295.27,298.3,17410318.0
GOOG,2026-03-09,294.14,306.5,293.99,306.01,19478510.0
GOOG,2026-03-10,305.875,309.15,305.31,306.93,14362200.0
GOOG,2026-03-11,306.3,311.069,305.84,308.42,13320300.0
GOOG,2026-03-12,306.155,308.64,300.84,303.21,14633273.0
GOOG,2026-03-13,307.0,307.24,299.7801,301.46,16811259.0
GOOG,2026-03-16,303.5,305.57,301.81,304.42,14764954.0
GOOG,2026-03-17,304.65,310.05,304.37,309.41,14395157.0
GOOG,2026-03-18,307.905,310.75,305.5494,306.3,13753387.0
GOOG,2026-03-19,303.21,306.68,301.0,305.73,15343571.0
GOOG,2026-03-20,304.135,304.37,296.76,298.79,34103002.0
GOOG,2026-03-23,300.53,303.37,298.03,299.02,22068828.0
GOOG,2026-03-24,296.21,297.09,288.855,289.2,27300898.0
GOOG,2026-03-25,291.72,294.66,287.37,289.59,21787018.0
GOOG,2026-03-26,286.049,286.515,279.05,280.74,28870381.0
GOOG,2026-03-27,277.4,279.09,273.48,273.76,25623591.0
GOOG,2026-03-30,275.89,276.26,271.535,273.14,21415696.0
GOOG,2026-03-31,277.84,287.05,276.81,286.86,30680107.0
META,2026-03-02,637.16,659.94,634.5,653.56,9801700.0
META,2026-03-03,648.29,659.04,638.84,655.08,12240600.0
META,2026-03-04,657.96,672.75,657.6711,667.73,10709535.0
META,2026-03-05,662.15,670.7,650.31,660.57,13249534.0
META,2026-03-06,647.9,649.4568,636.18,644.86,13000591.0
META,2026-03-09,634.78,647.75,626.78,647.39,13463300.0
META,2026-03-10,653.56,660.3,649.0,654.07,9844600.0
META,2026-03-11,654.76,659.12,648.36,654.86,8940900.0
META,2026-03-12,648.82,653.5,636.9,638.18,11019525.0
META,2026-03-13,623.27,629.1699,609.55,613.71,18758294.0
META,2026-03-16,632.0,634.74,623.1004,627.45,14353381.0
META,2026-03-17,628.53,636.55,621.71,622.66,10268468.0
META,2026-03-18,616.31,622.64,614.61,615.68,11622275.0
META,2026-03-19,611.96,613.0,602.26,606.7,12389745.0
META,2026-03-20,603.53,603.955,587.27,593.66,19820750.0
META,2026-03-23,605.787,608.64,599.01,604.06,13258580.0
META,2026-03-24,599.1,601.0,591.0,592.92,10647042.0
META,2026-03-25,598.74,603.62,593.4,594.89,12161179.0
META,2026-03-26,582.49,583.0,543.35,547.54,35664700.0
META,2026-03-27,540.1,543.6,520.26,525.72,29980300.0
META,2026-03-30,536.38,539.55,528.54,536.38,22758800.0
META,2026-03-31,549.98,573.69,546.77,572.13,32809500.0
NFLX,2026-03-02,95.33,98.07,95.25,97.09,79614084.0
NFLX,2026-03-03,95.93,98.46,95.33,97.7,58954497.0
NFLX,2026-03-04,97.12,99.75,96.99,98.66,52115674.0
NFLX,2026-03-05,98.495,100.19,98.1,99.17,53241615.0
NFLX,2026-03-06,99.38,99.88,97.4,99.02,39306944.0
NFLX,2026-03-09,97.69,98.94,96.58,98.32,47858580.0
NFLX,2026-03-10,97.81,98.49,96.29,96.94,40948700.0
NFLX,2026-03-11,97.41,98.0,94.69,94.89,33720500.0
NFLX,2026-03-12,94.926,95.4,93.87,94.31,33941082.0
NFLX,2026-03-13,94.55,95.6797,94.24,95.31,29808277.0
NFLX,2026-03-16,95.58,96.1,94.36,95.2,34582324.0
NFLX,2026-03-17,95.3,96.34,94.01,94.36,26283342.0
NFLX,2026-03-18,94.445,95.335,93.61,94.7,27264739.0
NFLX,2026-03-19,94.31,95.75,90.775,91.74,38239433.0
NFLX,2026-03-20,91.37,91.88,90.69,91.82,61493975.0
NFLX,2026-03-23,91.99,93.98,91.86,93.38,33605523.0
NFLX,2026-03-24,92.79,93.7398,90.815,90.92,28812449.0
NFLX,2026-03-25,91.735,92.52,91.235,92.28,29491408.0
NFLX,2026-03-26,91.534,95.86,91.01,93.32,59159281.0
NFLX,2026-03-27,94.534,95.5799,92.74,93.43,44308432.0
NFLX,2026-03-30,92.757,94.49,92.22,92.97,29207947.0
NFLX,2026-03-31,93.25,96.26,93.17,96.15,53674277.0
