Albania,ALB,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.36846,,,,,,,98.53712,,,98.73136,99.37598,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.37598,2012
Algeria,DZA,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,,,,,,,11.6849498748779,,,,,,,,,,,,,,,14.67492,,,,15.72782,,19.54882,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,19.54882,2008
Algeria,DZA,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,,,,,,,4.42434978485107,,,,,,,,,,,,,,,5.36398,,,,4.84991,,9.1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,9.1492,2008
Algeria,DZA,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,,,,,,,19.1037101745605,,,,,,,,,,,,,,,23.4375,,,,26.24506,,30.12364,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,30.12364,2008
Algeria,DZA,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,,,,,,,38.12701,,,,,,,,,,,,,,,65.05182,,,,69.66302,,72.71219,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,72.71219,2008
Algeria,DZA,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,,,,,,,,22.62243,,,,,,,,,,,,,,,51.7175,,,,57.8937,,62.93116,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,62.93116,2008
Algeria,DZA,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,,,,,,,,53.68155,,,,,,,,,,,,,,,78.41403,,,,81.36542,,82.36369,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,82.36369,2008
Algeria,DZA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,74.3272705078125,,,,,,,,,,,,,,,90.13721,,,,91.77964,,93.76733,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,93.76733,2008
Algeria,DZA,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,62.2114791870117,,,,,,,,,,,,,,,86.13399,,,,89.13824,,91.73993,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,91.73993,2008
Algeria,DZA,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,86.2300872802734,,,,,,,,,,,,,,,94.05754,,,,94.38148,,95.74706,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,95.74706,2008
American Samoa,ASM,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,92.6984100341797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,92.6984100341797,1980
American Samoa,ASM,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,91.2133865356445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,91.2133865356445,1980
American Samoa,ASM,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,94.2184219360352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,94.2184219360352,1980
American Samoa,ASM,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,97.54427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,97.54427,1980
American Samoa,ASM,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,97.59475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,97.59475,1980
American Samoa,ASM,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,97.49609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,97.49609,1980
